,Company name,Registered number,"Operating revenue (Turnover)
th GBP 2018",top_250_2018,top_500_2018,dup_2018
1,SHELL PLC,4366849,"310,781,000",TRUE,TRUE,FALSE
2,BP P.L.C.,102498,"238,039,000",TRUE,TRUE,FALSE
3,GLENCORE PLC,JE107710,"172,221,000",TRUE,TRUE,FALSE
4,HSBC HOLDINGS PLC,617987,"68,743,730",TRUE,TRUE,FALSE
5,SHELL TRADING INTERNATIONAL LIMITED,3634752,"64,827,679",TRUE,TRUE,FALSE
6,GLENCORE ENERGY UK LTD.,4542769,"63,875,451",TRUE,TRUE,FALSE
7,TESCO PLC,445790,"57,491,000",TRUE,TRUE,FALSE
8,BP INTERNATIONAL LIMITED,542515,"52,476,489",TRUE,TRUE,FALSE
9,UNILEVER PLC,41424,"45,769,000",TRUE,TRUE,FALSE
10,TESCO STORES LIMITED,519500,"41,367,000",TRUE,TRUE,FALSE
11,VODAFONE GROUP PUBLIC LIMITED COMPANY,1833679,"40,902,000",TRUE,TRUE,FALSE
12,LLOYDS BANKING GROUP PLC,SC095000,"37,081,000",TRUE,TRUE,FALSE
13,PRUDENTIAL PUBLIC LIMITED COMPANY,1397169,"33,201,000",TRUE,TRUE,FALSE
14,BHP GROUP (UK) LTD,3196209,"33,069,000",TRUE,TRUE,FALSE
15,RIO TINTO PLC,719885,"31,757,000",TRUE,TRUE,FALSE
16,SSE PLC,SC117119,"31,226,400",TRUE,TRUE,FALSE
17,GSK PLC,3888792,"30,821,000",TRUE,TRUE,FALSE
18,IMPERIAL BRANDS PLC,3236483,"30,524,000",TRUE,TRUE,FALSE
19,CENTRICA PLC,3033654,"29,686,000",TRUE,TRUE,FALSE
20,BARCLAYS PLC,48839,"28,699,000",TRUE,TRUE,FALSE
21,J SAINSBURY PLC,185647,"28,456,000",TRUE,TRUE,FALSE
22,SINOCHEM INTERNATIONAL OIL (LONDON) CO; LIMITED,2553758,"26,370,168",TRUE,TRUE,FALSE
23,AVIVA PLC,2468686,"26,252,000",TRUE,TRUE,FALSE
24,JAGUAR LAND ROVER AUTOMOTIVE PLC,6477691,"25,786,000",TRUE,TRUE,FALSE
25,SSE EPM LIMITED,9442646,"25,320,500",TRUE,TRUE,FALSE
26,BRITISH AMERICAN TOBACCO P.L.C.,3407696,"24,492,000",TRUE,TRUE,FALSE
27,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,1800000,"23,723,000",TRUE,TRUE,TRUE
28,BT GROUP PLC,4190816,"23,723,000",TRUE,TRUE,TRUE
29,SAINSBURY'S SUPERMARKETS LTD,3261722,"23,606,000",TRUE,TRUE,FALSE
30,COMPASS GROUP PLC,4083914,"22,964,000",TRUE,TRUE,FALSE
31,ASDA GROUP LIMITED,1396513,"22,916,500",TRUE,TRUE,TRUE
32,ASDA STORES LIMITED,464777,"22,842,800",TRUE,TRUE,FALSE
33,BROADSTREET GREAT WILSON EUROPE LIMITED,4521152,"22,916,500",TRUE,TRUE,TRUE
34,JAGUAR LAND ROVER LIMITED,1672070,"21,945,000",TRUE,TRUE,FALSE
35,UNIPEC U.K. CO. LIMITED,3138679,"21,929,395",TRUE,TRUE,FALSE
36,LLOYDS BANK PLC,2065,"21,664,000",TRUE,TRUE,FALSE
37,ANGLO AMERICAN PLC,3564138,"21,638,000",TRUE,TRUE,FALSE
38,BARCLAYS BANK PLC,1026167,"19,714,000",TRUE,TRUE,FALSE
39,STANDARD CHARTERED BANK,ZC000018,"18,659,875",TRUE,TRUE,FALSE
40,STANDARD CHARTERED PLC,966425,"18,649,687",TRUE,TRUE,FALSE
41,DIAGEO PLC,23307,"18,432,000",TRUE,TRUE,FALSE
42,WM MORRISON SUPERMARKETS LIMITED,358949,"17,262,000",TRUE,TRUE,FALSE
43,GREENERGY GROUP HOLDINGS III LIMITED,10673871,"17,560,999",TRUE,TRUE,FALSE
44,ASTRAZENECA PLC,2723534,"17,312,000",TRUE,TRUE,FALSE
45,GREENERGY FUELS HOLDINGS LIMITED,7318726,"16,836,382",TRUE,TRUE,FALSE
46,BAE SYSTEMS PLC,1470151,"16,821,000",TRUE,TRUE,FALSE
47,HSBC BANK PLC,14259,"16,670,000",TRUE,TRUE,FALSE
48,BANK OF ENGLAND ASSET PURCHASE FACILITY FUND LIMITED,6806063,"15,812,000",TRUE,TRUE,FALSE
49,FERGUSON PLC,JE106605,"15,810,000",TRUE,TRUE,FALSE
50,GREENERGY FUELS LIMITED,4058825,"15,792,195",TRUE,TRUE,FALSE
51,NATWEST GROUP PLC,SC045551,"15,774,000",TRUE,TRUE,FALSE
52,WITTINGTON INVESTMENTS LIMITED,366054,"15,771,000",TRUE,TRUE,FALSE
53,ROLLS-ROYCE PLC,1003142,"15,729,000",TRUE,TRUE,TRUE
54,ROLLS-ROYCE HOLDINGS PLC,7524813,"15,729,000",TRUE,TRUE,TRUE
55,WPP PLC,JE111714,"15,602,400",TRUE,TRUE,TRUE
56,WPP JUBILEE LIMITED,8286875,"15,602,400",TRUE,TRUE,TRUE
57,ASSOCIATED BRITISH FOODS PLC,293262,"15,574,000",TRUE,TRUE,FALSE
58,NATIONAL GRID PLC,4031152,"15,250,000",TRUE,TRUE,FALSE
59,CARNIVAL PLC,4039524,"14,787,000",TRUE,TRUE,FALSE
60,JOHNSON MATTHEY PLC,33774,"14,122,000",TRUE,TRUE,FALSE
61,SKY LIMITED,2247735,"13,585,000",TRUE,TRUE,FALSE
62,BRITISH AIRWAYS PLC,1777777,"13,021,000",TRUE,TRUE,FALSE
63,PHILLIPS 66 LIMITED,529086,"12,929,467",TRUE,TRUE,FALSE
64,FORD MOTOR COMPANY LIMITED,235446,"12,909,000",TRUE,TRUE,FALSE
65,J.P. MORGAN SECURITIES PLC,2711006,"12,645,752",TRUE,TRUE,FALSE
66,RECKITT BENCKISER GROUP PLC,6270876,"12,597,000",TRUE,TRUE,FALSE
67,ROTHESAY LIFE PLC,6127279,"12,195,000",TRUE,TRUE,FALSE
68,ROTHESAY LIMITED,8668809,"12,055,000",TRUE,TRUE,FALSE
