,Company name,Registered number,"Operating revenue (Turnover)
th GBP 2014",top_250_2014,top_500_2014,dup_2014
1,SHELL PLC,4366849,"270,060,000",TRUE,TRUE,FALSE
2,BP P.L.C.,102498,"226,748,000",TRUE,TRUE,FALSE
3,GLENCORE PLC,JE107710,"141,777,000",TRUE,TRUE,FALSE
4,SHELL TRADING INTERNATIONAL LIMITED,3634752,"69,909,456",TRUE,TRUE,FALSE
5,TESCO PLC,445790,"63,557,000",TRUE,TRUE,FALSE
6,HSBC HOLDINGS PLC,617987,"60,559,867",TRUE,TRUE,FALSE
7,BP INTERNATIONAL LIMITED,542515,"49,885,846",TRUE,TRUE,FALSE
8,TESCO STORES LIMITED,519500,"42,547,000",TRUE,TRUE,FALSE
9,LLOYDS BANK PLC,2065,"40,761,000",TRUE,TRUE,FALSE
10,LLOYDS BANKING GROUP PLC,SC095000,"40,154,000",TRUE,TRUE,FALSE
11,GLENCORE ENERGY UK LTD.,4542769,"40,084,760",TRUE,TRUE,FALSE
12,BHP GROUP (UK) LTD,3196209,"39,304,000",TRUE,TRUE,FALSE
13,VODAFONE GROUP PUBLIC LIMITED COMPANY,1833679,"38,346,000",TRUE,TRUE,FALSE
14,UNILEVER PLC,41424,"37,588,000",TRUE,TRUE,FALSE
15,BARCLAYS PLC,48839,"32,713,000",TRUE,TRUE,FALSE
16,BARCLAYS BANK PLC,1026167,"32,708,000",TRUE,TRUE,FALSE
17,PRUDENTIAL PUBLIC LIMITED COMPANY,1397169,"32,033,000",TRUE,TRUE,FALSE
18,LEGAL AND GENERAL ASSURANCE (PENSIONS MANAGEMENT) LIMITED,1006112,"31,270,500",TRUE,TRUE,FALSE
19,SSE PLC,SC117119,"30,585,000",TRUE,TRUE,FALSE
20,RIO TINTO PLC,719885,"30,568,000",TRUE,TRUE,FALSE
21,SINOCHEM EUROPE HOLDINGS PLC,3313063,"30,396,877",TRUE,TRUE,FALSE
22,SINOCHEM INTERNATIONAL OIL (LONDON) CO; LIMITED,2553758,"30,396,829",TRUE,TRUE,FALSE
