,Company name,Registered number,"Operating revenue (Turnover)
th GBP 2019",top_250_2019,top_500_2019,dup_2019
1,SHELL PLC,4366849,"265,380,000",TRUE,TRUE,FALSE
2,BP P.L.C.,102498,"213,006,000",TRUE,TRUE,FALSE
3,GLENCORE PLC,JE107710,"162,128,000",TRUE,TRUE,FALSE
4,HSBC HOLDINGS PLC,617987,"74,369,159",TRUE,TRUE,FALSE
5,ABI UK HOLDING 2 LIMITED,10414368,"71,959,369",TRUE,TRUE,FALSE
6,TESCO PLC,445790,"63,911,000",TRUE,TRUE,FALSE
7,GLENCORE ENERGY UK LTD.,4542769,"54,208,695",TRUE,TRUE,FALSE
8,BP INTERNATIONAL LIMITED,542515,"51,052,909",TRUE,TRUE,FALSE
9,LLOYDS BANKING GROUP PLC,SC095000,"50,387,000",TRUE,TRUE,FALSE
10,LEGAL AND GENERAL ASSURANCE (PENSIONS MANAGEMENT) LIMITED,1006112,"46,585,100",TRUE,TRUE,FALSE
11,SHELL TRADING INTERNATIONAL LIMITED,3634752,"44,755,629",TRUE,TRUE,FALSE
12,UNILEVER PLC,41424,"43,987,000",TRUE,TRUE,FALSE
13,TESCO STORES LIMITED,519500,"42,219,000",TRUE,TRUE,FALSE
14,VODAFONE GROUP PUBLIC LIMITED COMPANY,1833679,"37,620,000",TRUE,TRUE,FALSE
15,BHP GROUP (UK) LTD,3196209,"34,834,000",TRUE,TRUE,FALSE
16,GSK PLC,3888792,"33,754,000",TRUE,TRUE,FALSE
17,PRUDENTIAL PUBLIC LIMITED COMPANY,1397169,"32,771,330",TRUE,TRUE,FALSE
18,RIO TINTO PLC,719885,"32,533,000",TRUE,TRUE,FALSE
19,AVIVA LIFE & PENSIONS UK LIMITED,3253947,"32,461,000",TRUE,TRUE,FALSE
20,J SAINSBURY PLC,185647,"29,007,000",TRUE,TRUE,FALSE
21,IMPERIAL BRANDS PLC,3236483,"31,594,000",TRUE,TRUE,FALSE
22,BARCLAYS PLC,48839,"30,043,000",TRUE,TRUE,FALSE
23,UNIPEC U.K. CO. LIMITED,3138679,"29,666,892",TRUE,TRUE,FALSE
24,AVIVA PLC,2468686,"27,471,000",TRUE,TRUE,FALSE
25,BRITISH AMERICAN TOBACCO P.L.C.,3407696,"25,877,000",TRUE,TRUE,FALSE
26,COMPASS GROUP PLC,4083914,"24,878,000",TRUE,TRUE,FALSE
27,JAGUAR LAND ROVER AUTOMOTIVE PLC,6477691,"24,214,000",TRUE,TRUE,FALSE
28,SAINSBURY'S SUPERMARKETS LTD,3261722,"24,030,000",TRUE,TRUE,FALSE
29,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,1800000,"23,428,000",TRUE,TRUE,TRUE
30,BT GROUP PLC,4190816,"23,428,000",TRUE,TRUE,TRUE
31,SINOCHEM INTERNATIONAL OIL (LONDON) CO; LIMITED,2553758,"23,116,038",TRUE,TRUE,FALSE
32,BROADSTREET GREAT WILSON EUROPE LIMITED,4521152,"22,899,200",TRUE,TRUE,TRUE
33,ASDA GROUP LIMITED,1396513,"22,899,200",TRUE,TRUE,TRUE
34,ASDA STORES LIMITED,464777,"22,874,700",TRUE,TRUE,FALSE
35,CENTRICA PLC,3033654,"22,674,000",TRUE,TRUE,FALSE
36,ANGLO AMERICAN PLC,3564138,"22,513,000",TRUE,TRUE,FALSE
37,LLOYDS BANK PLC,2065,"21,513,000",TRUE,TRUE,FALSE
38,JAGUAR LAND ROVER LIMITED,1672070,"20,870,000",TRUE,TRUE,FALSE
39,DIAGEO PLC,23307,"19,294,000",TRUE,TRUE,FALSE
40,ROTHESAY LIFE PLC,6127279,"18,895,000",TRUE,TRUE,FALSE
41,STANDARD CHARTERED PLC,966425,"18,757,914",TRUE,TRUE,FALSE
