,Company name,Registered number,"Operating revenue (Turnover)
th GBP 2015",top_250_2015,top_500_2015,dup_2015
1,SHELL PLC,4366849,"179,476,000",TRUE,TRUE,FALSE
2,BP P.L.C.,102498,"150,982,000",TRUE,TRUE,FALSE
3,GLENCORE PLC,JE107710,"115,489,000",TRUE,TRUE,FALSE
4,TESCO PLC,445790,"62,284,000",TRUE,TRUE,FALSE
5,HSBC HOLDINGS PLC,617987,"60,327,169",TRUE,TRUE,FALSE
6,SHELL TRADING INTERNATIONAL LIMITED,3634752,"42,339,281",TRUE,TRUE,FALSE
7,TESCO STORES LIMITED,519500,"42,278,000",TRUE,TRUE,FALSE
8,VODAFONE GROUP PUBLIC LIMITED COMPANY,1833679,"42,227,000",TRUE,TRUE,FALSE
9,UNILEVER PLC,41424,"39,211,000",TRUE,TRUE,FALSE
10,PRUDENTIAL PUBLIC LIMITED COMPANY,1397169,"35,506,000",TRUE,TRUE,FALSE
11,BARCLAYS BANK PLC,1026167,"32,400,000",TRUE,TRUE,FALSE
12,BARCLAYS PLC,48839,"32,393,000",TRUE,TRUE,FALSE
13,SSE PLC,SC117119,"31,654,400",TRUE,TRUE,FALSE
14,SSE ENERGY SUPPLY LIMITED,3757502,"31,202,900",TRUE,TRUE,FALSE
15,LLOYDS BANK PLC,2065,"31,031,000",TRUE,TRUE,FALSE
16,BP INTERNATIONAL LIMITED,542515,"29,406,625",TRUE,TRUE,FALSE
17,LLOYDS BANKING GROUP PLC,SC095000,"29,373,000",TRUE,TRUE,FALSE
18,GLENCORE ENERGY UK LTD.,4542769,"29,143,304",TRUE,TRUE,FALSE
19,BHP GROUP (UK) LTD,3196209,"28,385,000",TRUE,TRUE,FALSE
20,CENTRICA PLC,3033654,"27,971,000",TRUE,TRUE,FALSE
21,IMPERIAL BRANDS PLC,3236483,"25,289,000",TRUE,TRUE,FALSE
22,GSK PLC,3888792,"23,923,000",TRUE,TRUE,FALSE
23,J SAINSBURY PLC,185647,"23,775,000",TRUE,TRUE,FALSE
