,Company name,Registered number,"Operating revenue (Turnover)
th GBP 2021",top_250_2021,top_500_2021,dup_2021
1,SHELL PLC,4366849,"201,431,000",TRUE,TRUE,FALSE
2,BP P.L.C.,102498,"121,302,000",TRUE,TRUE,FALSE
3,TESCO PLC,445790,"57,887,000",TRUE,TRUE,FALSE
4,GLENCORE ENERGY UK LTD.,4542769,"48,498,245",TRUE,TRUE,FALSE
5,RIO TINTO PLC,719885,"46,908,000",TRUE,TRUE,FALSE
6,UNILEVER PLC,41424,"44,078,000",TRUE,TRUE,FALSE
7,BHP GROUP (UK) LTD,3196209,"44,047,947",TRUE,TRUE,FALSE
8,TESCO STORES LIMITED,519500,"42,451,000",TRUE,TRUE,FALSE
9,LLOYDS BANKING GROUP PLC,SC095000,"37,444,000",TRUE,TRUE,FALSE
10,HSBC HOLDINGS PLC,617987,"37,293,000",TRUE,TRUE,FALSE
11,VODAFONE GROUP PUBLIC LIMITED COMPANY,1833679,"37,284,000",TRUE,TRUE,FALSE
12,LEGAL AND GENERAL ASSURANCE (PENSIONS MANAGEMENT) LIMITED,1006112,"34,977,400",TRUE,TRUE,FALSE
13,UNIPEC U.K. CO. LIMITED,3138679,"34,386,933",TRUE,TRUE,FALSE
14,GSK PLC,3888792,"34,114,000",TRUE,TRUE,FALSE
15,AVIVA PLC,2468686,"33,184,000",TRUE,TRUE,FALSE
16,IMPERIAL BRANDS PLC,3236483,"32,791,000",TRUE,TRUE,FALSE
17,ANGLO AMERICAN PLC,3564138,"30,699,000",TRUE,TRUE,FALSE
18,J SAINSBURY PLC,185647,"29,048,000",TRUE,TRUE,FALSE
19,ASTRAZENECA PLC,2723534,"27,643,000",TRUE,TRUE,FALSE
20,BRITISH AMERICAN TOBACCO P.L.C.,3407696,"25,684,000",TRUE,TRUE,FALSE
21,SAINSBURY'S SUPERMARKETS LTD,3261722,"23,823,000",TRUE,TRUE,FALSE
22,ASDA GROUP LIMITED,1396513,"23,488,500",TRUE,TRUE,FALSE
23,ASDA STORES LIMITED,464777,"23,473,900",TRUE,TRUE,FALSE
24,BARCLAYS PLC,48839,"21,940,000",TRUE,TRUE,FALSE
25,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,1800000,"21,331,000",TRUE,TRUE,TRUE
26,BT GROUP PLC,4190816,"21,331,000",TRUE,TRUE,TRUE
27,JAGUAR LAND ROVER AUTOMOTIVE PLC,6477691,"19,731,000",TRUE,TRUE,FALSE
28,PRUDENTIAL PUBLIC LIMITED COMPANY,1397169,"19,577,000",TRUE,TRUE,FALSE
29,BAE SYSTEMS PLC,1470151,"19,521,000",TRUE,TRUE,FALSE
30,EG GROUP LIMITED,9826582,"19,518,322",TRUE,TRUE,TRUE
31,EG GROUP HOLDINGS LIMITED,10440046,"19,518,322",TRUE,TRUE,TRUE
32,WM MORRISON SUPERMARKETS LIMITED,358949,"13,483,000",TRUE,TRUE,FALSE
33,COMPASS GROUP PLC,4083914,"17,908,000",TRUE,TRUE,FALSE
