,Company name,Registered number,"Operating revenue (Turnover)
th GBP 2016",top_250_2016,top_500_2016,dup_2016
1,SHELL PLC,4366849,"194,548,000",TRUE,TRUE,FALSE
2,BP P.L.C.,102498,"151,245,000",TRUE,TRUE,FALSE
3,GLENCORE PLC,JE107710,"123,965,000",TRUE,TRUE,FALSE
4,HSBC HOLDINGS PLC,617987,"65,063,219",TRUE,TRUE,FALSE
5,AB INBEV AMERICA HOLDINGS LIMITED,8922107,"44,596,217",TRUE,TRUE,FALSE
6,LEGAL AND GENERAL ASSURANCE (PENSIONS MANAGEMENT) LIMITED,1006112,"55,474,000",TRUE,TRUE,FALSE
7,TESCO PLC,445790,"54,433,000",TRUE,TRUE,FALSE
8,LLOYDS BANKING GROUP PLC,SC095000,"48,313,000",TRUE,TRUE,FALSE
9,SHELL TRADING INTERNATIONAL LIMITED,3634752,"48,221,609",TRUE,TRUE,FALSE
10,AVIVA INTERNATIONAL INSURANCE LIMITED,21487,"45,839,000",TRUE,TRUE,FALSE
11,UNILEVER PLC,41424,"45,096,000",TRUE,TRUE,FALSE
12,GLENCORE ENERGY UK LTD.,4542769,"41,341,634",TRUE,TRUE,FALSE
13,VODAFONE GROUP PUBLIC LIMITED COMPANY,1833679,"40,973,000",TRUE,TRUE,FALSE
14,TESCO STORES LIMITED,519500,"39,843,000",TRUE,TRUE,FALSE
15,PRUDENTIAL PUBLIC LIMITED COMPANY,1397169,"36,961,000",TRUE,TRUE,FALSE
16,THE PRUDENTIAL ASSURANCE COMPANY LIMITED,15454,"32,458,000",TRUE,TRUE,FALSE
17,SSE PLC,SC117119,"28,781,300",TRUE,TRUE,FALSE
18,BP INTERNATIONAL LIMITED,542515,"28,604,312",TRUE,TRUE,FALSE
19,GSK PLC,3888792,"27,889,000",TRUE,TRUE,FALSE
20,IMPERIAL BRANDS PLC,3236483,"27,634,000",TRUE,TRUE,FALSE
21,RIO TINTO PLC,719885,"27,380,000",TRUE,TRUE,FALSE
22,BARCLAYS PLC,48839,"27,257,000",TRUE,TRUE,FALSE
23,BARCLAYS BANK PLC,1026167,"27,224,000",TRUE,TRUE,FALSE
24,CENTRICA PLC,3033654,"27,102,000",TRUE,TRUE,FALSE
25,J SAINSBURY PLC,185647,"23,506,000",TRUE,TRUE,FALSE
26,BHP GROUP (UK) LTD,3196209,"23,325,000",TRUE,TRUE,FALSE
27,SAINSBURY'S SUPERMARKETS LTD,3261722,"23,168,000",TRUE,TRUE,FALSE
28,AVIVA PLC,2468686,"22,868,000",TRUE,TRUE,FALSE
29,BROADSTREET GREAT WILSON EUROPE LIMITED,4521152,"21,666,300",TRUE,TRUE,TRUE
30,QBE EUROPEAN OPERATIONS PLC,2641728,"1,861,681",TRUE,TRUE,FALSE
31,JAGUAR LAND ROVER AUTOMOTIVE PLC,6477691,"22,208,000",TRUE,TRUE,FALSE
32,ASDA GROUP LIMITED,1396513,"21,666,300",TRUE,TRUE,TRUE
33,ASDA STORES LIMITED,464777,"21,408,500",TRUE,TRUE,FALSE
34,SINOCHEM INTERNATIONAL OIL (LONDON) CO; LIMITED,2553758,"21,367,247",TRUE,TRUE,FALSE
35,BLACKROCK LIFE LIMITED,2223202,"21,360,691",TRUE,TRUE,FALSE
36,LLOYDS BANK PLC,2065,"20,900,000",TRUE,TRUE,FALSE
37,BANK OF ENGLAND ASSET PURCHASE FACILITY FUND LIMITED,6806063,"20,702,000",TRUE,TRUE,FALSE
38,LEGAL AND GENERAL ASSURANCE SOCIETY LIMITED,166055,"20,358,000",TRUE,TRUE,FALSE
39,SSE EPM LIMITED,9442646,"23,605,900",TRUE,TRUE,FALSE
40,HSBC BANK PLC,14259,"20,041,000",TRUE,TRUE,FALSE
41,COMPASS GROUP PLC,4083914,"19,605,000",TRUE,TRUE,FALSE
42,JAGUAR LAND ROVER LIMITED,1672070,"19,079,000",TRUE,TRUE,FALSE
43,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,1800000,"19,042,000",TRUE,TRUE,TRUE
44,BT GROUP PLC,4190816,"19,042,000",TRUE,TRUE,TRUE
45,ABRDN PLC,SC286832,"18,729,000",TRUE,TRUE,FALSE
46,OM RESIDUAL UK LIMITED,3591559,"18,696,000",TRUE,TRUE,FALSE
47,ASTRAZENECA PLC,2723534,"18,643,000",TRUE,TRUE,FALSE
48,BAE SYSTEMS PLC,1470151,"17,790,000",TRUE,TRUE,FALSE
49,ANGLO AMERICAN PLC,3564138,"17,327,000",TRUE,TRUE,FALSE
50,WM MORRISON SUPERMARKETS LIMITED,358949,"16,122,000",TRUE,TRUE,FALSE
51,LIBERTY GLOBAL PLC,8379990,"16,217,215",TRUE,TRUE,FALSE
52,STANDARD CHARTERED PLC,966425,"15,979,899",TRUE,TRUE,FALSE
53,STANDARD CHARTERED BANK,ZC000018,"15,906,954",TRUE,TRUE,FALSE
54,DIAGEO PLC,23307,"15,641,000",TRUE,TRUE,FALSE
55,NATWEST GROUP PLC,SC045551,"15,572,000",TRUE,TRUE,FALSE
56,NATIONAL GRID PLC,4031152,"15,115,000",TRUE,TRUE,FALSE
57,NATWEST MARKETS PLC,SC090312,"15,101,000",TRUE,TRUE,FALSE
58,ROLLS-ROYCE PLC,1003142,"14,955,000",TRUE,TRUE,TRUE
59,ROLLS-ROYCE HOLDINGS PLC,7524813,"14,955,000",TRUE,TRUE,TRUE
60,BRITISH AMERICAN TOBACCO P.L.C.,3407696,"14,751,000",TRUE,TRUE,FALSE
61,FERGUSON PLC,JE106605,"14,430,000",TRUE,TRUE,FALSE
62,WPP PLC,JE111714,"14,388,900",TRUE,TRUE,TRUE
63,WPP JUBILEE LIMITED,8286875,"14,388,900",TRUE,TRUE,TRUE
64,GREENERGY FUELS HOLDINGS LIMITED,7318726,"13,672,479",TRUE,TRUE,FALSE
65,WITTINGTON INVESTMENTS LIMITED,366054,"13,555,000",TRUE,TRUE,FALSE
66,GREENERGY FUELS LIMITED,4058825,"13,524,042",TRUE,TRUE,FALSE
67,ASSOCIATED BRITISH FOODS PLC,293262,"13,399,000",TRUE,TRUE,FALSE
68,SKY LIMITED,2247735,"11,965,000",TRUE,TRUE,FALSE
69,FORD MOTOR COMPANY LIMITED,235446,"11,810,000",TRUE,TRUE,FALSE
70,BRITISH AIRWAYS PLC,1777777,"11,443,000",TRUE,TRUE,FALSE
71,BRITISH UNITED PROVIDENT ASSOCIATION LIMITED(THE),432511,"11,047,900",TRUE,TRUE,FALSE
72,ESSAR ENERGY LIMITED,7108619,"10,890,821",TRUE,TRUE,FALSE
73,HBOS PLC,SC218813,"10,826,000",TRUE,TRUE,FALSE
74,JOHNSON MATTHEY PLC,33774,"10,713,900",TRUE,TRUE,FALSE
75,BANK OF SCOTLAND PLC,SC327000,"10,576,000",TRUE,TRUE,FALSE
76,MARKS AND SPENCER P.L.C.,214436,"10,555,400",TRUE,TRUE,TRUE
77,MARKS AND SPENCER GROUP P.L.C.,4256886,"10,555,400",TRUE,TRUE,TRUE
78,KINGFISHER PLC,1664812,"10,441,000",TRUE,TRUE,FALSE
79,RECKITT BENCKISER GROUP PLC,6270876,"9,891,000",TRUE,TRUE,FALSE
80,VOLKSWAGEN GROUP UNITED KINGDOM LIMITED,514809,"9,792,900",TRUE,TRUE,FALSE
81,JOHN LEWIS PLC,233462,"9,748,800",TRUE,TRUE,TRUE
82,JOHN LEWIS PARTNERSHIP PLC,238937,"9,748,800",TRUE,TRUE,TRUE
83,CURRYS PLC,7105905,"9,738,000",TRUE,TRUE,FALSE
84,BRITISH GAS TRADING LIMITED,3078711,"9,650,300",TRUE,TRUE,FALSE
85,AON GLOBAL LIMITED,7876075,"9,423,732",TRUE,TRUE,FALSE
86,SCOTTISH EQUITABLE PLC,SC144517,"9,407,900",TRUE,TRUE,FALSE
87,CO-OPERATIVE GROUP LIMITED,IP00525R,"9,472,000",TRUE,TRUE,FALSE
