,Company name,Registered number,"Operating revenue (Turnover)
th GBP 2013",top_250_2013,top_500_2013,dup_2013
1,SHELL PLC,4366849,"277,485,000",TRUE,TRUE,FALSE
2,BP P.L.C.,102498,"228,905,000",TRUE,TRUE,FALSE
3,GLENCORE PLC,JE107710,"140,490,000",TRUE,TRUE,FALSE
4,E D F TRADING LIMITED,3750288,"120,620,771",TRUE,TRUE,FALSE
5,SHELL TRADING INTERNATIONAL LIMITED,3634752,"75,259,561",TRUE,TRUE,FALSE
6,TESCO PLC,445790,"64,826,000",TRUE,TRUE,FALSE
7,BP INTERNATIONAL LIMITED,542515,"61,924,168",TRUE,TRUE,FALSE
8,LLOYDS BANKING GROUP PLC,SC095000,"53,195,000",TRUE,TRUE,FALSE
9,LLOYDS BANK PLC,2065,"52,594,000",TRUE,TRUE,FALSE
10,HSBC HOLDINGS PLC,617987,"48,212,884",TRUE,TRUE,FALSE
11,VODAFONE GROUP PUBLIC LIMITED COMPANY,1833679,"44,445,000",TRUE,TRUE,FALSE
12,BHP GROUP (UK) LTD,3196209,"43,329,000",TRUE,TRUE,FALSE
13,GLENCORE ENERGY UK LTD.,4542769,"43,232,650",TRUE,TRUE,FALSE
14,TESCO STORES LIMITED,519500,"42,662,000",TRUE,TRUE,FALSE
15,UNILEVER PLC,41424,"41,428,000",TRUE,TRUE,FALSE
16,BARCLAYS PLC,48839,"36,907,000",TRUE,TRUE,FALSE
17,BARCLAYS BANK PLC,1026167,"36,873,000",TRUE,TRUE,FALSE
18,AVIVA GROUP HOLDINGS LIMITED,1555746,"35,299,000",TRUE,TRUE,FALSE
19,HSBC BANK PLC,14259,"32,463,000",TRUE,TRUE,FALSE
20,RIO TINTO PLC,719885,"30,895,000",TRUE,TRUE,FALSE
21,PRUDENTIAL PUBLIC LIMITED COMPANY,1397169,"29,844,000",TRUE,TRUE,FALSE
22,SSE PLC,SC117119,"28,304,600",TRUE,TRUE,FALSE
23,SSE ENERGY SUPPLY LIMITED,3757502,"27,835,700",TRUE,TRUE,FALSE
24,LEGAL AND GENERAL ASSURANCE (PENSIONS MANAGEMENT) LIMITED,1006112,"26,993,800",TRUE,TRUE,FALSE
25,CENTRICA PLC,3033654,"26,571,000",TRUE,TRUE,FALSE
26,GSK PLC,3888792,"26,505,000",TRUE,TRUE,FALSE
27,NATWEST MARKETS PLC,SC090312,"26,495,000",TRUE,TRUE,FALSE
28,NATWEST GROUP PLC,SC045551,"26,458,000",TRUE,TRUE,FALSE
29,BLACKROCK FUND MANAGERS LIMITED,1102517,"25,236,812",TRUE,TRUE,FALSE
30,ASDA GROUP LIMITED,1396513,"23,325,200",TRUE,TRUE,TRUE
31,J SAINSBURY PLC,185647,"23,303,000",TRUE,TRUE,FALSE
32,ASDA STORES LIMITED,464777,"23,299,400",TRUE,TRUE,FALSE
33,SAINSBURY'S SUPERMARKETS LTD,3261722,"23,290,000",TRUE,TRUE,FALSE
34,WAL-MART STORES (UK) LIMITED,3759197,"23,325,200",TRUE,TRUE,TRUE
35,BROADSTREET GREAT WILSON EUROPE LIMITED,4521152,"23,325,200",TRUE,TRUE,TRUE
36,SINOCHEM EUROPE HOLDINGS PLC,3313063,"21,620,345",TRUE,TRUE,FALSE
37,SINOCHEM INTERNATIONAL OIL (LONDON) CO; LIMITED,2553758,"21,620,285",TRUE,TRUE,FALSE
38,AVIVA PLC,2468686,"20,623,000",TRUE,TRUE,FALSE
39,ABRDN PLC,SC286832,"20,545,000",TRUE,TRUE,FALSE
40,OM RESIDUAL UK LIMITED,3591559,"19,810,000",TRUE,TRUE,FALSE
41,HBOS PLC,SC218813,"19,534,000",TRUE,TRUE,FALSE
42,BG ENERGY HOLDINGS LIMITED,3763515,"19,192,000",TRUE,TRUE,FALSE
43,PHILLIPS 66 LIMITED,529086,"18,405,800",TRUE,TRUE,FALSE
44,BT GROUP PLC,4190816,"18,253,000",TRUE,TRUE,FALSE
45,ESSO UK LIMITED,1589650,"18,068,000",TRUE,TRUE,FALSE
46,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,1800000,"18,017,000",TRUE,TRUE,FALSE
47,ESSAR ENERGY LIMITED,7108619,"17,893,849",TRUE,TRUE,FALSE
48,ANGLO AMERICAN PLC,3564138,"17,715,000",TRUE,TRUE,FALSE
49,WM MORRISON SUPERMARKETS LIMITED,358949,"18,116,000",TRUE,TRUE,FALSE
50,COMPASS GROUP PLC,4083914,"17,557,000",TRUE,TRUE,FALSE
51,LIBERTY GLOBAL PLC,8379990,"8,738,876",TRUE,TRUE,FALSE
52,BAE SYSTEMS PLC,1470151,"16,864,000",TRUE,TRUE,FALSE
53,JAGUAR LAND ROVER AUTOMOTIVE PLC,6477691,"15,783,700",TRUE,TRUE,FALSE
54,ASTRAZENECA PLC,2723534,"15,523,000",TRUE,TRUE,FALSE
55,ROLLS-ROYCE PLC,1003142,"15,513,000",TRUE,TRUE,TRUE
56,ROLLS-ROYCE HOLDINGS PLC,7524813,"15,513,000",TRUE,TRUE,TRUE
57,STANDARD CHARTERED PLC,966425,"15,512,890",TRUE,TRUE,FALSE
58,TOTALENERGIES GAS & POWER LIMITED,2172239,"15,509,788",TRUE,TRUE,FALSE
59,STANDARD CHARTERED BANK,ZC000018,"15,493,570",TRUE,TRUE,FALSE
60,WILLIAM HILL ORGANIZATION LIMITED,278208,"15,339,482",TRUE,TRUE,FALSE
61,BRITISH GAS TRADING LIMITED,3078711,"15,315,500",TRUE,TRUE,FALSE
62,BRITISH AMERICAN TOBACCO P.L.C.,3407696,"15,260,000",TRUE,TRUE,FALSE
63,BANK OF SCOTLAND PLC,SC327000,"15,227,000",TRUE,TRUE,FALSE
64,TUI TRAVEL LIMITED,6072876,"15,051,000",TRUE,TRUE,FALSE
65,IMPERIAL BRANDS PLC,3236483,"14,588,000",TRUE,TRUE,FALSE
66,GREENERGY FUELS HOLDINGS LIMITED,7318726,"14,572,809",TRUE,TRUE,FALSE
67,GREENERGY FUELS LIMITED,4058825,"14,413,878",TRUE,TRUE,FALSE
68,NATIONAL GRID PLC,4031152,"14,359,000",TRUE,TRUE,FALSE
69,WITTINGTON INVESTMENTS LIMITED,366054,"13,417,000",TRUE,TRUE,FALSE
70,ABI SAB GROUP HOLDING LIMITED,3528416,"15,239,000",TRUE,TRUE,FALSE
71,ASSOCIATED BRITISH FOODS PLC,293262,"13,315,000",TRUE,TRUE,FALSE
72,FERGUSON PLC,JE106605,"13,154,000",TRUE,TRUE,FALSE
73,BLACKROCK LIFE LIMITED,2223202,"12,839,995",TRUE,TRUE,FALSE
74,CO-OPERATIVE GROUP LIMITED,IP00525R,"12,448,000",TRUE,TRUE,FALSE
75,BG GROUP LIMITED,3690065,"11,587,000",TRUE,TRUE,FALSE
76,DIAGEO PLC,23307,"11,433,000",TRUE,TRUE,FALSE
77,BRITISH AIRWAYS PLC,1777777,"11,421,000",TRUE,TRUE,FALSE
78,NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,929027,"11,316,000",TRUE,TRUE,FALSE
79,WPP PLC,JE111714,"11,019,400",TRUE,TRUE,TRUE
80,JOHNSON MATTHEY PLC,33774,"10,728,800",TRUE,TRUE,FALSE
81,CHRYSAOR PRODUCTION HOLDINGS LIMITED,3629601,"10,636,300",TRUE,TRUE,FALSE
82,KINGFISHER PLC,1664812,"10,573,000",TRUE,TRUE,FALSE
83,MARKS AND SPENCER P.L.C.,214436,"10,026,800",TRUE,TRUE,TRUE
84,MARKS AND SPENCER GROUP P.L.C.,4256886,"10,026,800",TRUE,TRUE,TRUE
85,JLR NOMINEE COMPANY LIMITED,1672065,"10,135,100",TRUE,TRUE,FALSE
86,"ESSO PETROLEUM COMPANY,LIMITED",26538,"10,106,000",TRUE,TRUE,FALSE
87,POSTAL SERVICES HOLDING COMPANY LIMITED,4074919,"10,103,000",TRUE,TRUE,FALSE
88,RECKITT BENCKISER GROUP PLC,6270876,"10,043,000",TRUE,TRUE,FALSE
89,MONEX EUROPE LIMITED,6014261,"9,317,997",TRUE,TRUE,FALSE
90,VEDANTA RESOURCES LIMITED,4740415,"9,840,347",TRUE,TRUE,FALSE
91,WPP JUBILEE LIMITED,8286875,"11,019,400",TRUE,TRUE,TRUE
92,THOMAS COOK GROUP PLC,6091951,"9,314,500",TRUE,TRUE,FALSE
93,FORD MOTOR COMPANY LIMITED,235446,"9,248,000",TRUE,TRUE,FALSE
94,HIFX EUROPE LIMITED,3517451,"9,169,925",TRUE,TRUE,FALSE
95,VALERO ENERGY UK LTD,145197,"9,118,400",TRUE,TRUE,FALSE
96,SAFEWAY LIMITED,1299733,"9,618,000",TRUE,TRUE,FALSE
97,BUPA FINANCE PLC.,2779134,"9,058,700",TRUE,TRUE,FALSE
