,Company name,Registered number,"Operating revenue (Turnover)
th GBP 2020",top_250_2020,top_500_2020,dup_2020
1,BP P.L.C.,102498,"134,304,000",TRUE,TRUE,FALSE
2,SHELL PLC,4366849,"134,081,000",TRUE,TRUE,FALSE
3,GLENCORE PLC,JE107710,"104,178,000",TRUE,TRUE,FALSE
4,TESCO PLC,445790,"64,760,000",TRUE,TRUE,FALSE
5,BANK OF ENGLAND ASSET PURCHASE FACILITY FUND LIMITED,6806063,"46,981,000",TRUE,TRUE,FALSE
6,UNILEVER PLC,41424,"45,395,000",TRUE,TRUE,FALSE
7,TESCO STORES LIMITED,519500,"42,951,000",TRUE,TRUE,FALSE
8,VODAFONE GROUP PUBLIC LIMITED COMPANY,1833679,"39,807,000",TRUE,TRUE,FALSE
9,BHP GROUP (UK) LTD,3196209,"34,711,000",TRUE,TRUE,FALSE
10,GSK PLC,3888792,"34,099,000",TRUE,TRUE,FALSE
11,LLOYDS BANKING GROUP PLC,SC095000,"33,872,000",TRUE,TRUE,FALSE
12,AON GLOBAL LIMITED,7876075,"33,235,844",TRUE,TRUE,FALSE
13,RIO TINTO PLC,719885,"32,651,000",TRUE,TRUE,FALSE
14,IMPERIAL BRANDS PLC,3236483,"32,562,000",TRUE,TRUE,FALSE
15,BP INTERNATIONAL LIMITED,542515,"32,288,663",TRUE,TRUE,FALSE
16,LEGAL AND GENERAL ASSURANCE (PENSIONS MANAGEMENT) LIMITED,1006112,"32,167,400",TRUE,TRUE,FALSE
17,J SAINSBURY PLC,185647,"28,993,000",TRUE,TRUE,FALSE
18,GLENCORE ENERGY UK LTD.,4542769,"28,265,176",TRUE,TRUE,FALSE
19,BRITISH AMERICAN TOBACCO P.L.C.,3407696,"25,776,000",TRUE,TRUE,FALSE
20,AVIVA PLC,2468686,"25,254,000",TRUE,TRUE,FALSE
21,SAINSBURY'S SUPERMARKETS LTD,3261722,"24,059,000",TRUE,TRUE,FALSE
22,JAGUAR LAND ROVER AUTOMOTIVE PLC,6477691,"22,984,000",TRUE,TRUE,FALSE
23,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,1800000,"22,905,000",TRUE,TRUE,TRUE
24,BT GROUP PLC,4190816,"22,905,000",TRUE,TRUE,TRUE
25,BROADSTREET GREAT WILSON EUROPE LIMITED,4521152,,TRUE,FALSE,FALSE
26,ASDA GROUP LIMITED,1396513,"22,759,700",TRUE,TRUE,FALSE
27,ASDA STORES LIMITED,464777,"22,743,700",TRUE,TRUE,FALSE
28,ANGLO AMERICAN PLC,3564138,"22,617,000",TRUE,TRUE,FALSE
29,UNIPEC U.K. CO. LIMITED,3138679,"22,357,539",TRUE,TRUE,FALSE
30,BARCLAYS PLC,48839,"21,766,000",TRUE,TRUE,FALSE
31,BARCLAYS BANK PLC,1026167,"20,503,000",TRUE,TRUE,FALSE
32,COMPASS GROUP PLC,4083914,"19,940,000",TRUE,TRUE,FALSE
33,JAGUAR LAND ROVER LIMITED,1672070,"19,849,000",TRUE,TRUE,FALSE
34,ASTRAZENECA PLC,2723534,"19,481,000",TRUE,TRUE,FALSE
35,BAE SYSTEMS PLC,1470151,"19,277,000",TRUE,TRUE,FALSE
36,LLOYDS BANK PLC,2065,"18,590,000",TRUE,TRUE,FALSE
37,WM MORRISON SUPERMARKETS LIMITED,358949,"17,536,000",TRUE,TRUE,FALSE
38,EG GROUP LIMITED,9826582,"15,708,849",TRUE,TRUE,TRUE
39,EG GROUP HOLDINGS LIMITED,10440046,"15,708,849",TRUE,TRUE,TRUE
40,STANDARD CHARTERED PLC,966425,"15,296,055",TRUE,TRUE,FALSE
41,JOHNSON MATTHEY PLC,33774,"14,577,000",TRUE,TRUE,FALSE
42,NATIONAL GRID PLC,4031152,"14,540,000",TRUE,TRUE,FALSE
43,WITTINGTON INVESTMENTS LIMITED,366054,"14,133,000",TRUE,TRUE,FALSE
44,RECKITT BENCKISER GROUP PLC,6270876,"13,993,000",TRUE,TRUE,FALSE
45,ASSOCIATED BRITISH FOODS PLC,293262,"13,937,000",TRUE,TRUE,FALSE
46,ALDI STORES LIMITED,2321869,"13,530,861",TRUE,TRUE,FALSE
47,CENTRICA PLC,3033654,"12,249,000",TRUE,TRUE,FALSE
48,NATWEST HOLDINGS LIMITED,10142224,"12,228,000",TRUE,TRUE,FALSE
49,WPP PLC,JE111714,"12,002,800",TRUE,TRUE,TRUE
50,WPP JUBILEE LIMITED,8286875,"12,002,800",TRUE,TRUE,TRUE
51,ROLLS-ROYCE PLC,1003142,"11,824,000",TRUE,TRUE,TRUE
52,ROLLS-ROYCE HOLDINGS PLC,7524813,"11,824,000",TRUE,TRUE,TRUE
53,SINOCHEM INTERNATIONAL OIL (LONDON) CO; LIMITED,2553758,"11,775,060",TRUE,TRUE,FALSE
54,DIAGEO PLC,23307,"11,752,000",TRUE,TRUE,FALSE
55,KINGFISHER PLC,1664812,"11,513,000",TRUE,TRUE,FALSE
56,GREENERGY FUELS HOLDINGS LIMITED,7318726,"11,485,454",TRUE,TRUE,FALSE
57,HSBC BANK PLC,14259,"11,145,000",TRUE,TRUE,FALSE
58,SCOTTISH EQUITABLE PLC,SC144517,"10,907,500",TRUE,TRUE,FALSE
59,CO-OPERATIVE GROUP LIMITED,IP00525R,"10,860,000",TRUE,TRUE,FALSE
60,INTERNATIONAL DISTRIBUTIONS SERVICES PLC,8680755,"10,840,000",TRUE,TRUE,FALSE
61,AVIVA INTERNATIONAL INSURANCE LIMITED,21487,"10,837,000",TRUE,TRUE,FALSE
62,GREENERGY GROUP HOLDINGS III LIMITED,10673871,"10,829,082",TRUE,TRUE,FALSE
63,GREENERGY FUELS LIMITED,4058825,"10,777,207",TRUE,TRUE,FALSE
64,JOHN SWIRE & SONS LIMITED,133143,"10,737,000",TRUE,TRUE,FALSE
65,CURRYS PLC,7105905,"10,170,000",TRUE,TRUE,FALSE
66,JOHN LEWIS PLC,233462,"10,151,300",TRUE,TRUE,TRUE
67,JOHN LEWIS PARTNERSHIP PLC,238937,"10,151,300",TRUE,TRUE,TRUE
68,BUNZL PUBLIC LIMITED COMPANY,358948,"10,111,100",TRUE,TRUE,FALSE
69,J.P. MORGAN CAPITAL HOLDINGS LIMITED,3871969,"10,045,378",TRUE,TRUE,FALSE
70,STANDARD CHARTERED BANK,ZC000018,"9,909,243",TRUE,TRUE,FALSE
71,J.P. MORGAN SECURITIES PLC,2711006,"9,779,119",TRUE,TRUE,FALSE
72,CISCO INTERNATIONAL LIMITED,6640658,"9,661,507",TRUE,TRUE,FALSE
73,COCA-COLA EUROPACIFIC PARTNERS PLC,9717350,"9,492,000",TRUE,TRUE,FALSE
74,VEDANTA RESOURCES LIMITED,4740415,"9,466,078",TRUE,TRUE,FALSE
75,ASTRAZENECA UK LIMITED,3674842,"9,350,000",TRUE,TRUE,FALSE
76,MARKS AND SPENCER P.L.C.,214436,"10,181,900",TRUE,TRUE,FALSE
77,SKY UK LIMITED,2906991,"9,006,000",TRUE,TRUE,FALSE
78,BRITISH UNITED PROVIDENT ASSOCIATION LIMITED(THE),432511,"8,813,000",TRUE,TRUE,TRUE
