,Company name,Registered number,"Operating revenue (Turnover)
th GBP 2017",top_250_2017,top_500_2017,dup_2017
1,SHELL PLC,4366849,"230,639,000",TRUE,TRUE,FALSE
2,BP P.L.C.,102498,"180,877,000",TRUE,TRUE,FALSE
3,GLENCORE PLC,JE107710,"151,957,000",TRUE,TRUE,FALSE
4,HSBC HOLDINGS PLC,617987,"58,894,394",TRUE,TRUE,FALSE
5,GLENCORE ENERGY UK LTD.,4542769,"58,821,483",TRUE,TRUE,FALSE
6,TESCO PLC,445790,"55,917,000",TRUE,TRUE,FALSE
7,SHELL TRADING INTERNATIONAL LIMITED,3634752,"52,948,905",TRUE,TRUE,FALSE
8,UNILEVER PLC,41424,"47,751,000",TRUE,TRUE,FALSE
9,PRUDENTIAL PUBLIC LIMITED COMPANY,1397169,"41,943,000",TRUE,TRUE,FALSE
10,LLOYDS BANKING GROUP PLC,SC095000,"40,713,000",TRUE,TRUE,FALSE
11,VODAFONE GROUP PUBLIC LIMITED COMPANY,1833679,"40,653,000",TRUE,TRUE,FALSE
12,TESCO STORES LIMITED,519500,"40,134,000",TRUE,TRUE,FALSE
13,BP INTERNATIONAL LIMITED,542515,"34,843,958",TRUE,TRUE,FALSE
14,IMPERIAL BRANDS PLC,3236483,"30,247,000",TRUE,TRUE,FALSE
15,GSK PLC,3888792,"30,186,000",TRUE,TRUE,FALSE
16,RIO TINTO PLC,719885,"29,604,000",TRUE,TRUE,FALSE
17,LEGAL AND GENERAL ASSURANCE (PENSIONS MANAGEMENT) LIMITED,1006112,"29,514,000",TRUE,TRUE,FALSE
18,BHP GROUP (UK) LTD,3196209,"29,461,000",TRUE,TRUE,FALSE
19,SINOCHEM INTERNATIONAL OIL (LONDON) CO; LIMITED,2553758,"29,141,926",TRUE,TRUE,FALSE
20,SSE PLC,SC117119,"29,037,900",TRUE,TRUE,FALSE
21,CENTRICA PLC,3033654,"28,023,000",TRUE,TRUE,FALSE
22,BARCLAYS PLC,48839,"26,799,000",TRUE,TRUE,FALSE
23,BARCLAYS BANK PLC,1026167,"26,721,000",TRUE,TRUE,FALSE
24,J SAINSBURY PLC,185647,"26,224,000",TRUE,TRUE,FALSE
25,AVIVA PLC,2468686,"25,224,000",TRUE,TRUE,FALSE
26,JAGUAR LAND ROVER AUTOMOTIVE PLC,6477691,"24,339,000",TRUE,TRUE,FALSE
27,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,1800000,"24,062,000",TRUE,TRUE,TRUE
28,BT GROUP PLC,4190816,"24,062,000",TRUE,TRUE,TRUE
29,SAINSBURY'S SUPERMARKETS LTD,3261722,"23,234,000",TRUE,TRUE,FALSE
30,SSE EPM LIMITED,9442646,"23,228,900",TRUE,TRUE,FALSE
31,BANK OF ENGLAND ASSET PURCHASE FACILITY FUND LIMITED,6806063,"22,713,000",TRUE,TRUE,FALSE
32,COMPASS GROUP PLC,4083914,"22,568,000",TRUE,TRUE,FALSE
33,ASDA GROUP LIMITED,1396513,"22,219,800",TRUE,TRUE,TRUE
34,ASDA STORES LIMITED,464777,"21,951,800",TRUE,TRUE,FALSE
35,LLOYDS BANK PLC,2065,"21,865,000",TRUE,TRUE,FALSE
36,BROADSTREET GREAT WILSON EUROPE LIMITED,4521152,"22,219,800",TRUE,TRUE,TRUE
37,JAGUAR LAND ROVER LIMITED,1672070,"20,862,000",TRUE,TRUE,FALSE
38,BRITISH AMERICAN TOBACCO P.L.C.,3407696,"20,292,000",TRUE,TRUE,FALSE
39,HSBC BANK PLC,14259,"19,760,000",TRUE,TRUE,FALSE
40,ANGLO AMERICAN PLC,3564138,"19,408,000",TRUE,TRUE,FALSE
41,BAE SYSTEMS PLC,1470151,"18,322,000",TRUE,TRUE,FALSE
42,DIAGEO PLC,23307,"18,114,000",TRUE,TRUE,FALSE
43,WM MORRISON SUPERMARKETS LIMITED,358949,"16,317,000",TRUE,TRUE,FALSE
44,ABRDN PLC,SC286832,"16,980,000",TRUE,TRUE,FALSE
45,GREENERGY FUELS HOLDINGS LIMITED,7318726,"11,158,397",TRUE,TRUE,FALSE
46,ASTRAZENECA PLC,2723534,"16,614,000",TRUE,TRUE,FALSE
47,ROLLS-ROYCE PLC,1003142,"16,307,000",TRUE,TRUE,TRUE
48,ROLLS-ROYCE HOLDINGS PLC,7524813,"16,307,000",TRUE,TRUE,TRUE
49,GREENERGY FUELS LIMITED,4058825,"10,617,458",TRUE,TRUE,FALSE
50,STANDARD CHARTERED BANK,ZC000018,"15,616,033",TRUE,TRUE,FALSE
51,STANDARD CHARTERED PLC,966425,"15,610,856",TRUE,TRUE,FALSE
52,WITTINGTON INVESTMENTS LIMITED,366054,"15,526,000",TRUE,TRUE,FALSE
53,ASSOCIATED BRITISH FOODS PLC,293262,"15,357,000",TRUE,TRUE,FALSE
54,WPP PLC,JE111714,"15,265,400",TRUE,TRUE,TRUE
55,WPP JUBILEE LIMITED,8286875,"15,265,400",TRUE,TRUE,TRUE
56,FERGUSON PLC,JE106605,"15,224,000",TRUE,TRUE,FALSE
57,NATIONAL GRID PLC,4031152,"15,035,000",TRUE,TRUE,FALSE
58,NATWEST GROUP PLC,SC045551,"15,006,000",TRUE,TRUE,FALSE
59,STAR EDUCATION INVESTMENT LIMITED,10213869,"14,861,000",TRUE,TRUE,FALSE
60,SCOTTISH EQUITABLE PLC,SC144517,"14,570,300",TRUE,TRUE,FALSE
61,SKY LIMITED,2247735,"12,916,000",TRUE,TRUE,FALSE
62,FORD MOTOR COMPANY LIMITED,235446,"12,863,000",TRUE,TRUE,FALSE
63,BLACKROCK LIFE LIMITED,2223202,"12,762,434",TRUE,TRUE,FALSE
64,BRITISH AIRWAYS PLC,1777777,"12,226,000",TRUE,TRUE,FALSE
65,THE PRUDENTIAL ASSURANCE COMPANY LIMITED,15454,"12,047,000",TRUE,TRUE,FALSE
66,JOHNSON MATTHEY PLC,33774,"12,031,000",TRUE,TRUE,FALSE
67,RECKITT BENCKISER GROUP PLC,6270876,"11,512,000",TRUE,TRUE,FALSE
68,KINGFISHER PLC,1664812,"11,225,000",TRUE,TRUE,FALSE
69,SHIRE PLC,JE99854,"11,211,803",TRUE,TRUE,FALSE
70,TECHNIPFMC PLC,9909709,"11,135,113",TRUE,TRUE,FALSE
71,LIBERTY GLOBAL PLC,8379990,"11,123,059",TRUE,TRUE,FALSE
72,MARKS AND SPENCER P.L.C.,214436,"10,622,000",TRUE,TRUE,TRUE
73,MARKS AND SPENCER GROUP P.L.C.,4256886,"10,622,000",TRUE,TRUE,TRUE
74,CURRYS PLC,7105905,"10,585,000",TRUE,TRUE,FALSE
75,JOHN SWIRE & SONS LIMITED,133143,"10,454,000",TRUE,TRUE,FALSE
76,VOLKSWAGEN GROUP UNITED KINGDOM LIMITED,514809,"10,412,700",TRUE,TRUE,FALSE
77,UNIPEC U.K. CO. LIMITED,3138679,"10,357,966",TRUE,TRUE,FALSE
78,ALDI STORES LIMITED,2321869,"10,181,049",TRUE,TRUE,FALSE
79,JOHN LEWIS PLC,233462,"10,026,200",TRUE,TRUE,TRUE
80,JOHN LEWIS PARTNERSHIP PLC,238937,"10,026,200",TRUE,TRUE,TRUE
81,HBOS PLC,SC218813,"9,937,000",TRUE,TRUE,FALSE
82,BANK OF SCOTLAND PLC,SC327000,"9,882,000",TRUE,TRUE,FALSE
83,COCA-COLA EUROPACIFIC PARTNERS PLC,9717350,"9,833,763",TRUE,TRUE,FALSE
84,INTERNATIONAL DISTRIBUTIONS SERVICES PLC,8680755,"9,776,000",TRUE,TRUE,FALSE
85,J.P. MORGAN CAPITAL HOLDINGS LIMITED,3871969,"9,770,744",TRUE,TRUE,FALSE
86,GREENERGY GROUP HOLDINGS III LIMITED,10673871,"9,770,719",TRUE,TRUE,FALSE
87,GKN HOLDINGS LIMITED,66549,"9,671,000",TRUE,TRUE,TRUE
88,GKN LIMITED,4191106,"9,671,000",TRUE,TRUE,TRUE
89,CO-OPERATIVE GROUP LIMITED,IP00525R,,TRUE,TRUE,FALSE
90,NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,929027,"9,436,000",TRUE,TRUE,FALSE
91,VEDANTA RESOURCES LIMITED,4740415,"9,191,080",TRUE,TRUE,FALSE
92,THOMAS COOK GROUP PLC,6091951,"9,007,000",TRUE,TRUE,FALSE
93,INCHCAPE PLC,609782,"8,949,200",TRUE,TRUE,FALSE
94,BRITISH GAS TRADING LIMITED,3078711,"8,911,100",TRUE,TRUE,FALSE
95,BRITISH UNITED PROVIDENT ASSOCIATION LIMITED(THE),432511,"8,856,600",TRUE,TRUE,TRUE
96,BUPA FINANCE PLC.,2779134,"8,856,600",TRUE,TRUE,TRUE
97,CISCO INTERNATIONAL LIMITED,6640658,"8,782,826",TRUE,TRUE,FALSE
98,PHILLIPS 66 LIMITED,529086,"8,652,566",TRUE,TRUE,FALSE
99,BUNZL PUBLIC LIMITED COMPANY,358948,"8,580,900",TRUE,TRUE,FALSE
100,SAFEWAY LIMITED,1299733,"8,041,000",TRUE,TRUE,FALSE
101,J.P. MORGAN SECURITIES PLC,2711006,"8,373,443",TRUE,TRUE,FALSE
102,SAFEWAY STORES LIMITED,746956,"7,981,000",TRUE,TRUE,FALSE
103,SHELL GLOBAL LNG LIMITED,1287989,"8,288,329",TRUE,TRUE,FALSE
104,EVRAZ PLC,7784342,"8,007,000",TRUE,TRUE,FALSE
105,E D & F MAN HOLDINGS LIMITED,3909548,"7,969,102",TRUE,TRUE,FALSE
106,SKY UK LIMITED,2906991,"7,925,000",TRUE,TRUE,FALSE
107,AB INBEV SI LIMITED,8924644,"7,865,528",TRUE,TRUE,FALSE
108,G4S LIMITED,4992207,"7,828,000",TRUE,TRUE,FALSE
109,ROYAL MAIL GROUP LIMITED,4138203,"7,651,000",TRUE,TRUE,FALSE
110,VALERO ENERGY LTD,8566216,"7,593,600",TRUE,TRUE,FALSE
111,EDF ENERGY HOLDINGS LIMITED,6930266,"7,520,000",TRUE,TRUE,FALSE
112,AVIVA INTERNATIONAL INSURANCE LIMITED,21487,"7,488,000",TRUE,TRUE,FALSE
113,SANTANDER UK PLC,2294747,"7,429,000",TRUE,TRUE,TRUE
114,SANTANDER UK GROUP HOLDINGS PLC,8700698,"7,429,000",TRUE,TRUE,TRUE
115,AON GLOBAL LIMITED,7876075,"7,393,877",TRUE,TRUE,FALSE
116,DONE BROTHERS (CASH BETTING) LIMITED,1277703,"7,363,399",TRUE,TRUE,FALSE
117,RELX PLC,77536,"7,355,000",TRUE,TRUE,TRUE
118,RELX GROUP PLC,2746616,"7,355,000",TRUE,TRUE,TRUE
119,SCOTTISH WIDOWS LIMITED,3196171,"7,191,000",TRUE,TRUE,FALSE
120,HSBC FINANCE (NETHERLANDS),2815114,"7,132,774",TRUE,TRUE,FALSE
121,CHANEL LIMITED,203669,"7,116,847",TRUE,TRUE,FALSE
122,BALFOUR BEATTY PLC,395826,"6,916,000",TRUE,TRUE,FALSE
123,BOOTS UK LIMITED,928555,"6,837,000",TRUE,TRUE,FALSE
124,RSA INSURANCE GROUP LIMITED,2339826,"6,605,000",TRUE,TRUE,FALSE
125,BAE SYSTEMS (OPERATIONS) LIMITED,1996687,"6,501,000",TRUE,TRUE,FALSE
126,ESSAR ENERGY LIMITED,7108619,"6,460,747",TRUE,TRUE,FALSE
127,TRAVIS PERKINS PLC,824821,"6,433,100",TRUE,TRUE,FALSE
128,EE LIMITED,2382161,"7,991,000",TRUE,TRUE,FALSE
129,"ESSO PETROLEUM COMPANY,LIMITED",26538,"6,383,000",TRUE,TRUE,FALSE
130,NISSAN MOTOR MANUFACTURING (UK) LIMITED,1806912,"6,354,266",TRUE,TRUE,FALSE
131,MONDI PLC,6209386,"6,308,000",TRUE,TRUE,FALSE
132,NETWORK RAIL LIMITED,4402220,"6,259,000",TRUE,TRUE,FALSE
133,NETWORK RAIL INFRASTRUCTURE LIMITED,2904587,"6,252,000",TRUE,TRUE,FALSE
134,PETRACO OIL COMPANY LLP,OC380184,"6,129,139",TRUE,TRUE,FALSE
135,WAITROSE LIMITED,99405,"6,121,300",TRUE,TRUE,FALSE
136,HSBC INVESTMENT COMPANY LIMITED,4308091,"6,093,829",TRUE,TRUE,FALSE
137,LEGAL & GENERAL GROUP PLC,1417162,"6,051,000",TRUE,TRUE,FALSE
138,EDF ENERGY CUSTOMERS LIMITED,2228297,"6,041,800",TRUE,TRUE,FALSE
139,INEOS INDUSTRIES LIMITED,6959146,"5,999,467",TRUE,TRUE,FALSE
140,TATA STEEL UK HOLDINGS LIMITED,5887351,"5,931,000",TRUE,TRUE,TRUE
141,TATA STEEL EUROPE LIMITED,5957565,"5,931,000",TRUE,TRUE,TRUE
142,E.ON ENERGY SOLUTIONS LIMITED,3407430,"5,930,000",TRUE,TRUE,FALSE
143,"PETROCHINA INTERNATIONAL (LONDON) CO., LIMITED",4410974,"5,850,313",TRUE,TRUE,FALSE
144,VODAFONE LIMITED,1471587,"5,843,900",TRUE,TRUE,FALSE
145,ARGENTEX LLP,OC369106,"5,740,409",TRUE,TRUE,FALSE
146,DIMENSION DATA HOLDINGS LIMITED,3704278,,TRUE,TRUE,FALSE
147,BMW (UK) LIMITED,1378137,"5,659,035",TRUE,TRUE,FALSE
148,FIRSTGROUP PLC,SC157176,"5,653,300",TRUE,TRUE,FALSE
149,CARNIVAL PLC,4039524,"5,649,000",TRUE,TRUE,FALSE
150,SYTNER GROUP LIMITED,2883766,"5,562,589",TRUE,TRUE,FALSE
151,RIO TINTO INTERNATIONAL HOLDINGS LIMITED,425864,"5,495,489",TRUE,TRUE,FALSE
152,TELEFONICA UK LIMITED,1743099,"5,471,000",TRUE,TRUE,FALSE
153,EDF ENERGY LIMITED,2366852,"5,393,300",TRUE,TRUE,FALSE
154,ASTRAZENECA UK LIMITED,3674842,"5,392,000",TRUE,TRUE,FALSE
155,SHELL U.K. LIMITED,140141,"5,344,000",TRUE,TRUE,FALSE
156,BOOKER GROUP LIMITED,5145685,"5,327,900",TRUE,TRUE,FALSE
157,AIRBUS OPERATIONS LIMITED,3468788,"5,254,000",TRUE,TRUE,FALSE
158,SCOTTISHPOWER ENERGY MANAGEMENT LIMITED,SC215843,"5,248,300",TRUE,TRUE,FALSE
159,SCOTTISH POWER UK PLC,SC117120,"5,239,100",TRUE,TRUE,TRUE
160,SCOTTISH POWER LIMITED,SC193794,"5,239,100",TRUE,TRUE,TRUE
161,HONDA MOTOR EUROPE LIMITED,857969,"5,211,258",TRUE,TRUE,FALSE
162,ALLIED DOMECQ (HOLDINGS) LIMITED,689729,"5,179,049",TRUE,TRUE,FALSE
163,CEVA GROUP LIMITED,5900853,"5,172,312",TRUE,TRUE,FALSE
164,ABI SAB GROUP HOLDING LIMITED,3528416,"5,122,763",TRUE,TRUE,FALSE
165,EASYJET AIRLINE COMPANY LIMITED,3034606,"5,122,000",TRUE,TRUE,FALSE
166,HAYS PLC,2150950,"5,081,000",TRUE,TRUE,FALSE
167,EASYJET PLC,3959649,"5,047,000",TRUE,TRUE,FALSE
168,TRANSPORT TRADING LIMITED,3914810,"5,033,100",TRUE,TRUE,FALSE
169,TUI UK LIMITED,2830117,"5,000,000",TRUE,TRUE,FALSE
170,MERCEDES-BENZ CARS UK LIMITED,2448457,"4,949,817",TRUE,TRUE,FALSE
171,ARRIS INTERNATIONAL LIMITED,9551763,"4,891,578",TRUE,TRUE,FALSE
172,ANGLO AMERICAN MARKETING LIMITED,405724,"4,863,034",TRUE,TRUE,FALSE
173,NIELSEN HOLDINGS LIMITED,9422989,"4,860,228",TRUE,TRUE,FALSE
174,VIRGIN MEDIA FINANCE PLC,5061787,"4,831,800",TRUE,TRUE,FALSE
175,MTC PENGXIN HOLDINGS LLP,OC411217,"4,818,879",TRUE,TRUE,FALSE
176,GOLDMAN SACHS INTERNATIONAL,2263951,"4,812,898",TRUE,TRUE,FALSE
177,DATATEC PLC,7817963,"4,800,336",TRUE,TRUE,FALSE
178,DS SMITH PLC,1377658,"4,781,000",TRUE,TRUE,FALSE
179,INEOS QUATTRO HOLDINGS LIMITED,9922632,"4,749,222",TRUE,TRUE,FALSE
180,PENDRAGON PLC,2304195,"4,739,100",TRUE,TRUE,FALSE
181,PETROFAC LTD,JE81792,"4,729,000",TRUE,TRUE,FALSE
182,LOOKERS PLC,111876,"4,696,300",TRUE,TRUE,FALSE
183,ABI AUSTRALIA BEVERAGE HOLDING LTD,10394356,"5,859,933",TRUE,TRUE,FALSE
184,SSE ENERGY SUPPLY LIMITED,3757502,"4,674,600",TRUE,TRUE,FALSE
185,BARRATT DEVELOPMENTS P L C,604574,"4,650,200",TRUE,TRUE,FALSE
186,OMV SUPPLY & TRADING LIMITED,2597025,"4,621,336",TRUE,TRUE,FALSE
187,RIO TINTO AUSTRALIAN HOLDINGS LIMITED,464176,"4,619,879",TRUE,TRUE,FALSE
188,GALLAHER LIMITED,1501573,"4,598,800",TRUE,TRUE,FALSE
189,EG GROUP LIMITED,9826582,"4,583,519",TRUE,TRUE,TRUE
190,EG GROUP HOLDINGS LIMITED,10440046,"4,583,519",TRUE,TRUE,TRUE
191,BARCLAYS EXECUTION SERVICES LIMITED,1767980,"4,566,518",TRUE,TRUE,FALSE
192,BABCOCK INTERNATIONAL GROUP PLC,2342138,"4,547,100",TRUE,TRUE,FALSE
193,PEARSON PLC,53723,"4,513,000",TRUE,TRUE,FALSE
194,LEGAL AND GENERAL ASSURANCE SOCIETY LIMITED,166055,"4,493,000",TRUE,TRUE,FALSE
195,IMPERIAL TOBACCO LIMITED,1860181,"4,486,000",TRUE,TRUE,FALSE
196,NATIONAL GRID ELECTRICITY TRANSMISSION PLC,2366977,"4,439,000",TRUE,TRUE,FALSE
197,BDW TRADING LIMITED,3018173,"4,375,382",TRUE,TRUE,FALSE
198,CURRYS GROUP LIMITED,504877,"4,345,700",TRUE,TRUE,FALSE
199,MORGAN STANLEY & CO. INTERNATIONAL PLC,2068222,"4,341,813",TRUE,TRUE,FALSE
200,INTEL CORPORATION (UK) LIMITED,1134945,"4,330,943",TRUE,TRUE,FALSE
201,AIG EUROPE LIMITED,1486260,"4,316,100",TRUE,TRUE,FALSE
202,FIL LIFE INSURANCE LIMITED,3406905,"4,269,924",TRUE,TRUE,FALSE
203,MOTABILITY OPERATIONS LIMITED,1373876,"4,256,595",TRUE,TRUE,FALSE
204,CAPITA PLC,2081330,"4,234,600",TRUE,TRUE,FALSE
205,MOTABILITY OPERATIONS GROUP PLC,6541091,"4,221,700",TRUE,TRUE,FALSE
206,GUARDIAN ROYAL EXCHANGE PUBLIC LIMITED COMPANY,1821312,"4,183,000",TRUE,TRUE,FALSE
207,SONY INTERACTIVE ENTERTAINMENT EUROPE LIMITED,3277793,"4,181,068",TRUE,TRUE,FALSE
